experiment,condition,time,name,value
E5,Dose 1,4,SOCS1_mRNA,0.829847488589227
E5,Dose 1,4,SOCS1_mRNA,1.00866778502334
E5,Dose 1,8,SOCS1_mRNA,0.71764278437971
E5,Dose 1,8,SOCS1_mRNA,0.901471511481139
E5,Dose 1,12,SOCS1_mRNA,0.569278804279411
E5,Dose 1,12,SOCS1_mRNA,0.455825128667409
E5,Dose 1,12,SOCS1_mRNA,0.531442101844783
E5,Dose 1,12,SOCS1_mRNA,0.732859629299379
E5,Dose 1,16,SOCS1_mRNA,0.228912302707616
E5,Dose 1,16,SOCS1_mRNA,0.458474006526937
E5,Dose 1,20,SOCS1_mRNA,0.0970106548122618
E5,Dose 1,20,SOCS1_mRNA,0
E5,Dose 3,4,SOCS1_mRNA,3.16837868085494
E5,Dose 3,4,SOCS1_mRNA,3.2485057085247
E5,Dose 3,8,SOCS1_mRNA,1.02982399399229
E5,Dose 3,8,SOCS1_mRNA,1.09118696750247
E5,Dose 3,12,SOCS1_mRNA,1.34539469194222
E5,Dose 3,12,SOCS1_mRNA,1.44126016176539
E5,Dose 3,16,SOCS1_mRNA,1.12870383601884
E5,Dose 3,16,SOCS1_mRNA,1.16619390925025
E5,Dose 3,20,SOCS1_mRNA,0.987103975196666
E5,Dose 3,20,SOCS1_mRNA,1.09522496433832
E6,Dose 2,2,SOCS1_mRNA,1.43352190902167
E6,Dose 2,2,SOCS1_mRNA,1.44849758238631
E6,Dose 2,2,SOCS1_mRNA,1.64876073294043
E6,Dose 2,3,SOCS1_mRNA,2.57197214962286
E6,Dose 2,3,SOCS1_mRNA,2.61216690196952
E6,Dose 2,3,SOCS1_mRNA,2.56769581192636
E6,Dose 2,4,SOCS1_mRNA,2.95369687482309
E6,Dose 2,4,SOCS1_mRNA,2.88856153501828
E6,Dose 2,6,SOCS1_mRNA,2.63804674237179
E6,Dose 2,6,SOCS1_mRNA,2.63419849010035
E6,Dose 2,6,SOCS1_mRNA,2.47021176250115
E6,Dose 2,8,SOCS1_mRNA,1.64241855513432
E6,Dose 2,8,SOCS1_mRNA,1.90213162169225
E6,Dose 2,8,SOCS1_mRNA,1.78294574831814
E6,Dose 1,2,SOCS1_mRNA,0.907395544107107
E6,Dose 1,2,SOCS1_mRNA,1.11506065731794
E6,Dose 1,2,SOCS1_mRNA,0.970566758861376
E6,Dose 1,3,SOCS1_mRNA,1.82110548891765
E6,Dose 1,3,SOCS1_mRNA,1.87206621119055
E6,Dose 1,3,SOCS1_mRNA,1.81427508416165
E6,Dose 1,4,SOCS1_mRNA,1.7790438080694
E6,Dose 1,4,SOCS1_mRNA,1.84928306826991
E6,Dose 1,4,SOCS1_mRNA,1.88493464549298
E6,Dose 1,6,SOCS1_mRNA,2.09528757732807
E6,Dose 1,6,SOCS1_mRNA,2.24644709229801
E6,Dose 1,6,SOCS1_mRNA,1.97956146018663
E6,Dose 1,8,SOCS1_mRNA,1.30606206627665
E6,Dose 1,8,SOCS1_mRNA,1.65098703485636
E6,Dose 1,8,SOCS1_mRNA,1.55699755752622
E4,Dose 3,2,SOCS1_mRNA,2.19063763874641
E4,Dose 3,2,SOCS1_mRNA,2.20758578032753
E4,Dose 3,2,SOCS1_mRNA,2.2374625410691
E4,Dose 3,3,SOCS1_mRNA,3.52617260360548
E4,Dose 3,3,SOCS1_mRNA,3.58132562048294
E4,Dose 3,3,SOCS1_mRNA,3.4710789769461
E4,Dose 3,4,SOCS1_mRNA,3.97499662681256
E4,Dose 3,4,SOCS1_mRNA,4.11135969838522
E4,Dose 3,4,SOCS1_mRNA,4.09468177912745
E4,Dose 3,6,SOCS1_mRNA,3.7852081403147
E4,Dose 3,6,SOCS1_mRNA,3.9175430486321
E4,Dose 3,6,SOCS1_mRNA,3.89470932238404
E4,Dose 3,8,SOCS1_mRNA,2.06432231692113
E4,Dose 3,8,SOCS1_mRNA,2.26578695527419
E4,Dose 3,8,SOCS1_mRNA,2.06786862005942
E6,Dose 1,0,SOCS1_mRNA,0.0388979418580577
E4,Dose 3,0,SOCS1_mRNA,0
E6,Dose 2,0,SOCS1_mRNA,0
